<<<<<<< vb-demo-using-git
"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Pattambi,1,Tonnes,NR,Other,1000,1500,1250,Rs/Quintal
Payyannur,0.34,Tonnes,NR,Other,1900,2100,2000,Rs/Quintal
Perinthalmanna,2.7,Tonnes,NR,Ashgourd,1600,2000,1800,Rs/Quintal
Perumbavoor,5,Tonnes,NR,Ashgourd,1600,2500,1800,Rs/Quintal
Quilandy,0.7,Tonnes,NR,Other,1400,1500,1500,Rs/Quintal
Thalayolaparambu,0.6,Tonnes,NR,Ashgourd,700,1100,900,Rs/Quintal
Thamarassery,0.5,Tonnes,NR,Other,1000,1800,1300,Rs/Quintal
Thirurrangadi,0.5,Tonnes,NR,Ashgourd,1500,1850,1650,Rs/Quintal
Thodupuzha,1,Tonnes,NR,Other,900,1000,1000,Rs/Quintal
Thrippunithura,0.6,Tonnes,NR,Ashgourd,2000,3000,2400,Rs/Quintal
vadakarapathy,3,Tonnes,NR,Other,200,400,300,Rs/Quintal
Vadakkenchery,0.25,Tonnes,NR,Other,1000,1500,1250,Rs/Quintal
Balekai,,,,,,,,
Rajasthan,,,,,,,,
Chittorgarh,1,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Banana - Green,,,,,,,,
Chattisgarh,,,,,,,,
Durg,8,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Gujarat,,,,,,,,
Ahmedabad,1.4,Tonnes,NR,Other,700,1200,1000,Rs/Quintal
Bharuch,7.36,Tonnes,NR,Other,500,750,700,Rs/Quintal
Surat,1.5,Tonnes,NR,Other,900,1300,1100,Rs/Quintal
Haryana,,,,,,,,
Gohana,12,Tonnes,NR,Other,1500,2000,1500,Rs/Quintal
Karnataka,,,,,,,,
"Binny Mill (F&V), Bangalore",11,Tonnes,NR,Banana - Green,1200,1800,1400,Rs/Quintal
Doddaballa Pur,NR,Tonnes,NR,Banana - Green,3000,3600,3500,Rs/Quintal
Kerala,,,,,,,,
Aluva,13,Tonnes,NR,Banana - Green,4200,5000,4600,Rs/Quintal
Angamaly,0.5,Tonnes,NR,Banana - Green,4400,4800,4600,Rs/Quintal
Athirampuzha,0.25,Tonnes,NR,Banana - Green,1600,1800,1700,Rs/Quintal
Chala,3,Tonnes,NR,Other,5700,5753,5720,Rs/Quintal
Chengannur,5.5,Tonnes,NR,Other,4400,4700,4500,Rs/Quintal
Ernakulam,5,Tonnes,NR,Banana - Green,4200,4500,4500,Rs/Quintal
Ettumanoor,2.5,Tonnes,NR,Banana - Green,2000,2100,2000,Rs/Quintal
Harippad,1,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kanjangadu,2,Tonnes,NR,Banana - Green,3400,3800,3500,Rs/Quintal
Kannur,7,Tonnes,NR,Other,3700,3800,3750,Rs/Quintal
Kattappana,4,Tonnes,NR,Other,3200,3500,3300,Rs/Quintal
Kayamkulam,1,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Kollam,1,Tonnes,NR,Other,4200,4400,4300,Rs/Quintal
Kondotty,0.8,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Kothamangalam,4,Tonnes,NR,Other,4000,5000,4500,Rs/Quintal
Kottakkal,3,Tonnes,NR,Other,2150,2250,2200,Rs/Quintal
Kuruppanthura,3,Tonnes,NR,Banana - Green,4000,4800,4400,Rs/Quintal
Manjeswaram,10,Tonnes,NR,Other,3400,4400,3900,Rs/Quintal
Moovattupuzha,2,Tonnes,NR,Banana - Green,2100,2350,2200,Rs/Quintal
Mukkom,3,Tonnes,NR,Banana - Green,2000,2400,2200,Rs/Quintal
Nedumkandam,0.5,Tonnes,NR,Other,4600,4600,4600,Rs/Quintal
Neeleswaram,0.7,Tonnes,NR,Other,4600,5000,4800,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Banana - Green,4600,5000,4800,Rs/Quintal
Pala,2,Tonnes,NR,Banana - Green,4100,4600,4300,Rs/Quintal
Palayam,50,Tonnes,NR,Other,3500,3700,3600,Rs/Quintal
Pampady,10,Tonnes,NR,Banana - Green,4000,4400,4200,Rs/Quintal
Parappanangadi,3,Tonnes,NR,Other,2500,2850,2650,Rs/Quintal
Parassala,4,Tonnes,NR,Banana - Green,5500,5500,5500,Rs/Quintal
Perinthalmanna,2.2,Tonnes,NR,Banana - Green,2800,3200,3000,Rs/Quintal
Perumbavoor,6,Tonnes,NR,Banana - Green,3500,4500,4000,Rs/Quintal
Quilandy,2.3,Tonnes,NR,Other,3600,3800,3600,Rs/Quintal
Thalayolaparambu,0.4,Tonnes,NR,Banana - Green,1700,1900,1800,Rs/Quintal
Thamarassery,1,Tonnes,NR,Banana - Green,3400,4300,3800,Rs/Quintal
Thirurrangadi,5,Tonnes,NR,Other,2500,2750,2650,Rs/Quintal
Thodupuzha,0.1,Tonnes,NR,Other,2800,3000,3000,Rs/Quintal
Thrippunithura,4,Tonnes,NR,Banana - Green,4000,5000,4400,Rs/Quintal
vadakarapathy,5,Tonnes,NR,Other,3300,3500,3400,Rs/Quintal
Vandiperiyar,1.5,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Maharashtra,,,,,,,,
Mumbai,5,Tonnes,NR,Other,1400,1800,1600,Rs/Quintal
NCT of Delhi,,,,,,,,
Azadpur,12.5,Tonnes,NR,Banana - Green,1000,1400,1200,Rs/Quintal
Odisha,,,,,,,,
Angul,1.2,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Angul(Jarapada),2,Tonnes,NR,Other,3000,3500,3200,Rs/Quintal
Balugaon,2.5,Tonnes,NR,Banana - Green,900,960,930,Rs/Quintal
Baripada,1.2,Tonnes,NR,Banana - Green,1500,2500,2000,Rs/Quintal
Bonai,0.3,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Hindol,0.1,Tonnes,NR,Other,2600,3000,2800,Rs/Quintal
Hinjilicut,8.5,Tonnes,NR,Other,2200,2600,2500,Rs/Quintal
Kuchinda,0.2,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Malkanagiri,0.28,Tonnes,NR,Other,3000,3200,3100,Rs/Quintal
Malkangiri(Korakunda),0.3,Tonnes,NR,Other,3000,3200,3100,Rs/Quintal
Mottagaon,0.14,Tonnes,NR,Other,2000,2500,2500,Rs/Quintal
Punjab,,,,,,,,
Jagraon,1,Tonnes,NR,Banana - Green,2000,2400,2200,Rs/Quintal
Telangana,,,,,,,,
Gudimalkapur,0.3,Tonnes,NR,Banana - Green,1000,1500,1200,Rs/Quintal
L B Nagar,0.7,Tonnes,NR,Banana - Green,1000,1000,1000,Rs/Quintal
Tripura,,,,,,,,
Pabiacherra,0.4,Tonnes,NR,Banana - Green,1100,1175,1150,Rs/Quintal
Uttar Pradesh,,,,,,,,
Aliganj,0.1,Tonnes,NR,Banana - Green,500,700,600,Rs/Quintal
Anandnagar,2,Tonnes,NR,Banana - Green,500,600,550,Rs/Quintal
Auraiya,0.5,Tonnes,NR,Banana - Green,850,900,870,Rs/Quintal
Awagarh,0.3,Tonnes,NR,Banana - Green,1000,1200,1100,Rs/Quintal
Balrampur,3.5,Tonnes,NR,Banana - Green,1100,1225,1200,Rs/Quintal
Barabanki,17.5,Tonnes,NR,Banana - Green,1200,1320,1280,Rs/Quintal
Baraut,0.2,Tonnes,NR,Banana - Green,1015,1035,1025,Rs/Quintal
Bareilly,4,Tonnes,NR,Banana - Green,850,925,900,Rs/Quintal
Basti,6,Tonnes,NR,Banana - Green,1100,1200,1160,Rs/Quintal
Bijnaur,5,Tonnes,NR,Banana - Green,970,1060,1020,Rs/Quintal
Chorichora,1.2,Tonnes,NR,Banana - Green,1150,1260,1200,Rs/Quintal
Devariya,5,Tonnes,NR,Banana - Green,920,965,950,Rs/Quintal
Faizabad,2,Tonnes,NR,Banana - Green,775,850,825,Rs/Quintal
Farukhabad,9,Tonnes,NR,Banana - Green,1150,1250,1200,Rs/Quintal
Gadaura,23,Tonnes,NR,Banana - Green,800,900,850,Rs/Quintal
Golagokarnath,8.2,Tonnes,NR,Banana - Green,750,950,825,Rs/Quintal
Gonda,12.5,Tonnes,NR,Banana - Green,890,915,900,Rs/Quintal
Gorakhpur,80,Tonnes,NR,Banana - Green,1100,1210,1150,Rs/Quintal
Jhansi,8.5,Tonnes,NR,Banana - Green,1500,1650,1610,Rs/Quintal
Jhijhank,2,Tonnes,NR,Banana - Green,700,750,725,Rs/Quintal
Kanpur(Grain),100,Tonnes,NR,Banana - Green,1200,1300,1250,Rs/Quintal
Karnailganj,0.35,Tonnes,NR,Banana - Green,800,820,810,Rs/Quintal
Kasganj,6,Tonnes,NR,Banana - Green,1100,1200,1170,Rs/Quintal
Khalilabad,35,Tonnes,NR,Banana - Green,1325,1450,1375,Rs/Quintal
Kiratpur,3.4,Tonnes,NR,Banana - Green,900,1100,1000,Rs/Quintal
Kopaganj,3,Tonnes,NR,Banana - Green,1100,1200,1150,Rs/Quintal
Maharajganj,2,Tonnes,NR,Banana - Green,1000,1050,1020,Rs/Quintal
Mainpuri,11,Tonnes,NR,Banana - Green,650,800,750,Rs/Quintal
Mathura,40,Tonnes,NR,Banana - Green,1500,1700,1600,Rs/Quintal
Mawana,1,Tonnes,NR,Banana - Green,1050,1100,1080,Rs/Quintal
Meerut,8,Tonnes,NR,Banana - Green,1150,1250,1190,Rs/Quintal
Muzzafarnagar,34,Tonnes,NR,Banana - Green,1165,1220,1190,Rs/Quintal
Nakud,0.2,Tonnes,NR,Banana - Green,1100,1200,1150,Rs/Quintal
Nanuta,0.2,Tonnes,NR,Banana - Green,1100,1300,1200,Rs/Quintal
Naugarh,2.5,Tonnes,NR,Banana - Green,1100,1150,1125,Rs/Quintal
Nautnava,1,Tonnes,NR,Banana - Green,520,630,580,Rs/Quintal
Nawabganj,30,Tonnes,NR,Banana - Green,850,NR,950,Rs/Quintal
Paliakala,30,Tonnes,NR,Banana - Green,750,850,800,Rs/Quintal
Panchpedwa,5,Tonnes,NR,Banana - Green,850,900,875,Rs/Quintal
Parikshitgarh,1,Tonnes,NR,Banana - Green,1050,1100,1080,Rs/Quintal
Partaval,8,Tonnes,NR,Banana - Green,900,975,950,Rs/Quintal
Saharanpur,80,Tonnes,NR,Banana - Green,1100,1300,1200,Rs/Quintal
Sahiyapur,4,Tonnes,NR,Banana - Green,1090,1200,1145,Rs/Quintal
Sehjanwa,10,Tonnes,NR,Banana - Green,955,1035,995,Rs/Quintal
Shahjahanpur,40,Tonnes,NR,Banana - Green,900,1000,950,Rs/Quintal
Soharatgarh,1.4,Tonnes,NR,Banana - Green,1110,1150,1130,Rs/Quintal
Tamkuhi Road,20,Tonnes,NR,Banana - Green,750,850,800,Rs/Quintal
Unnao,1,Tonnes,NR,Banana - Green,650,775,725,Rs/Quintal
Vishalpur,2,Tonnes,NR,Banana - Green,925,1050,975,Rs/Quintal
Uttrakhand,,,,,,,,
Kashipur,2,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Beetroot,,,,,,,,
Andhra Pradesh,,,,,,,,
Palamaner,1.26,Tonnes,NR,Beetroot,1250,2250,1750,Rs/Quintal
Gujarat,,,,,,,,
Ahmedabad,19.9,Tonnes,NR,Other,700,1000,900,Rs/Quintal
Nadiyad(Piplag),1.3,Tonnes,NR,Beetroot,800,900,850,Rs/Quintal
Surat,4.5,Tonnes,NR,Other,1500,1700,1600,Rs/Quintal
Karnataka,,,,,,,,
"Binny Mill (F&V), Bangalore",11,Tonnes,NR,Beetroot,1000,1400,1200,Rs/Quintal
Chamaraj Nagar,NR,Tonnes,NR,Beetroot,1300,1550,1500,Rs/Quintal
Chickkaballapura,12,Tonnes,NR,Beetroot,1000,1400,1200,Rs/Quintal
Chikkamagalore,3,Tonnes,NR,Beetroot,800,800,800,Rs/Quintal
Doddaballa Pur,NR,Tonnes,NR,Beetroot,1800,2200,2000,Rs/Quintal
Honnali,2,Tonnes,NR,Beetroot,500,900,800,Rs/Quintal
Kolar,5,Tonnes,NR,Beetroot,1200,1500,1300,Rs/Quintal
Mysore (Bandipalya),9,Tonnes,NR,Beetroot,800,1500,1200,Rs/Quintal
Ramanagara,NR,Tonnes,NR,Beetroot,1400,1600,1500,Rs/Quintal
Kerala,,,,,,,,
Angamaly,0.2,Tonnes,NR,Beetroot,3400,4000,3700,Rs/Quintal
Athirampuzha,0.3,Tonnes,NR,Beetroot,2300,2500,2400,Rs/Quintal
Chala,3,Tonnes,NR,Other,3700,3758,3726,Rs/Quintal
Chalakudy,1.2,Tonnes,NR,Other,2600,3000,2800,Rs/Quintal
Chengannur,0.6,Tonnes,NR,Other,3100,3400,3200,Rs/Quintal
Cherthala,0.6,Tonnes,NR,Other,2800,2900,2850,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Beetroot,2200,2500,2500,Rs/Quintal
Ettumanoor,2.3,Tonnes,NR,Other,3000,3100,3100,Rs/Quintal
Harippad,0.5,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Beetroot,3300,3700,3500,Rs/Quintal
Kayamkulam,1,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Koduvayoor,0.7,Tonnes,NR,Other,2000,2600,2300,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Kuruppanthura,2.5,Tonnes,NR,Beetroot,3400,4200,3800,Rs/Quintal
Madhavapuram,1.8,Tonnes,NR,Other,3000,3400,3200,Rs/Quintal
Manjeri,4,Tonnes,NR,Other,2300,2400,2350,Rs/Quintal
Manjeswaram,12,Tonnes,NR,Beetroot,2000,3000,2500,Rs/Quintal
Moovattupuzha,1,Tonnes,NR,Other,2700,3000,2850,Rs/Quintal
Mukkom,0.5,Tonnes,NR,Beetroot,1800,2200,2000,Rs/Quintal
Nedumkandam,0.3,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Neeleswaram,0.8,Tonnes,NR,Other,3400,3600,3500,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Beetroot,1600,2000,1800,Rs/Quintal
Pala,1,Tonnes,NR,Beetroot,3400,4000,3600,Rs/Quintal
Palakkad,0.5,Tonnes,NR,Beetroot,3000,3500,3300,Rs/Quintal
Palayam,10,Tonnes,NR,Other,3000,3200,3100,Rs/Quintal
Parappanangadi,0.5,Tonnes,NR,Other,1500,1850,1650,Rs/Quintal
Parassala,3,Tonnes,NR,Beetroot,1800,2000,1800,Rs/Quintal
Pattambi,0.5,Tonnes,NR,Other,2000,3000,2800,Rs/Quintal
Perinthalmanna,2.5,Tonnes,NR,Beetroot,3300,3900,3600,Rs/Quintal
Quilandy,0.6,Tonnes,NR,Other,3200,3500,3400,Rs/Quintal
Thalayolaparambu,0.4,Tonnes,NR,Beetroot,3200,3700,3500,Rs/Quintal
Thamarassery,0.25,Tonnes,NR,Other,2300,4000,2600,Rs/Quintal
Thirurrangadi,0.9,Tonnes,NR,Other,2500,2850,2650,Rs/Quintal
Thodupuzha,1.5,Tonnes,NR,Other,2000,2200,2200,Rs/Quintal
Thrippunithura,0.5,Tonnes,NR,Beetroot,3800,4800,4200,Rs/Quintal
vadakarapathy,1,Tonnes,NR,Other,1700,1900,1800,Rs/Quintal
Vadakkenchery,0.23,Tonnes,NR,Other,2000,2500,2250,Rs/Quintal
Maharashtra,,,,,,,,
Amrawati(Frui & Veg. Market),1,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Chandrapur(Ganjwad),1,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Maanachar,66,Tonnes,NR,Other,600,1720,1185,Rs/Quintal
Mumbai,5,Tonnes,NR,Other,1200,1800,1500,Rs/Quintal
Pune,8,Tonnes,NR,Other,700,1200,1000,Rs/Quintal
Pune(Pimpri),NR,Tonnes,NR,Other,1600,1600,1600,Rs/Quintal
NCT of Delhi,,,,,,,,
Azadpur,35.5,Tonnes,NR,Beetroot,400,800,600,Rs/Quintal
Rajasthan,,,,,,,,
Ajmer(F&V),0.6,Tonnes,NR,Other,800,1600,1400,Rs/Quintal
Telangana,,,,,,,,
Bowenpally,9.5,Tonnes,NR,Beetroot,400,2200,1500,Rs/Quintal
Gudimalkapur,1.3,Tonnes,NR,Beetroot,800,1500,1100,Rs/Quintal
L B Nagar,0.1,Tonnes,NR,Beetroot,1500,1500,1500,Rs/Quintal
Bhindi(Ladies Finger),,,,,,,,
Andhra Pradesh,,,,,,,,
Palamaner,0.42,Tonnes,NR,Bhindi,500,1000,750,Rs/Quintal
Chattisgarh,,,,,,,,
Durg,8,Tonnes,NR,Bhindi,3000,4000,3500,Rs/Quintal
Rajnandgaon,3,Tonnes,NR,Bhindi,4000,4000,4000,Rs/Quintal
Gujarat,,,,,,,,
Ahmedabad,27.8,Tonnes,NR,Other,2500,4500,3600,Rs/Quintal
"Anand(Veg,Yard,Anand)",3.1,Tonnes,NR,Bhindi,2500,2750,2600,Rs/Quintal
Ankleshwar,0.64,Tonnes,NR,Bhindi,2750,3000,2825,Rs/Quintal
Bardoli(Katod),0.16,Tonnes,NR,Other,1400,2200,1860,Rs/Quintal
Bharuch,0.86,Tonnes,NR,Other,1300,2250,1500,Rs/Quintal
Bilimora,0.24,Tonnes,NR,Other,800,2750,1775,Rs/Quintal
Dahod(Veg. Market),0.28,Tonnes,NR,Bhindi,2000,4000,3000,Rs/Quintal
Damnagar,0.04,Tonnes,NR,Bhindi,1200,1400,1300,Rs/Quintal
Dholka(Koth),21,Tonnes,NR,Other,1300,1600,1450,Rs/Quintal
Gondal(Veg.market Gondal),2,Tonnes,NR,Bhindi,2500,4000,3250,Rs/Quintal
Kapadvanj,0.6,Tonnes,NR,Other,2500,3000,2750,Rs/Quintal
Mahuva(Anaval),0.4,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Mehsana(Mehsana Veg),0.3,Tonnes,NR,Bhindi,2000,4700,3250,Rs/Quintal
Nadiyad(Piplag),1.8,Tonnes,NR,Bhindi,2400,2600,2500,Rs/Quintal
Padra,1.8,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Rajkot(Ghee Peeth),3.2,Tonnes,NR,Bhindi,2750,3750,3250,Rs/Quintal
Surat,52,Tonnes,NR,Other,1750,3600,2675,Rs/Quintal
Talalagir,0.2,Tonnes,NR,Other,2150,2350,2250,Rs/Quintal
Vadhvan,0.4,Tonnes,NR,Bhindi,1750,2500,2125,Rs/Quintal
Valod(Buhari),13.5,Tonnes,NR,Other,3250,3850,3500,Rs/Quintal
Vankaner(Sub yard),0.12,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Vansda,1.7,Tonnes,NR,Bhindi,2750,3700,3200,Rs/Quintal
Vansda(Limzar),11.2,Tonnes,NR,Other,3650,3850,3725,Rs/Quintal
Vyra,40.2,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Haryana,,,,,,,,
Ambala Cantt.,0.5,Tonnes,NR,Bhindi,4000,4700,4500,Rs/Quintal
Barwala(Hisar),1,Tonnes,NR,Other,4500,4500,4500,Rs/Quintal
Jhajjar,0.1,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Naraingarh,0.1,Tonnes,NR,Bhindi,5000,5200,5100,Rs/Quintal
Panipat,0.2,Tonnes,NR,Other,4000,4500,4300,Rs/Quintal
Sonepat,0.2,Tonnes,NR,Other,5000,5500,5000,Rs/Quintal
Thanesar,0.1,Tonnes,NR,Other,4000,6000,5000,Rs/Quintal
Himachal Pradesh,,,,,,,,
Bhuntar,0.01,Tonnes,NR,Other,6000,6400,6200,Rs/Quintal
Dhanotu (Mandi),0.1,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Kangra,0.1,Tonnes,NR,Other,5500,6000,5750,Rs/Quintal
Kullu,0.3,Tonnes,NR,Other,5500,6000,5800,Rs/Quintal
Palampur,0.2,Tonnes,NR,Other,5500,6000,6000,Rs/Quintal
Solan(Nalagarh),0.3,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Una,0.05,Tonnes,NR,Bhindi,6500,6500,6500,Rs/Quintal
Jammu and Kashmir,,,,,,,,
Akhnoor,0.5,Tonnes,NR,Other,4000,4500,4250,Rs/Quintal
Narwal Jammu (F&V),4,Tonnes,NR,Other,4000,4500,4250,Rs/Quintal
Samba,1,Tonnes,NR,Bhindi,3000,4000,3500,Rs/Quintal
Jharkhand,,,,,,,,
Gumla,7,Tonnes,NR,Other,3000,3500,3250,Rs/Quintal
Khunti,NR,Tonnes,NR,Other,4000,4400,4200,Rs/Quintal
Karnataka,,,,,,,,
Bagepalli,NR,Tonnes,NR,Bhindi,600,1000,840,Rs/Quintal
"Binny Mill (F&V), Bangalore",14,Tonnes,NR,Bhindi,1600,2000,1800,Rs/Quintal
Channapatana,NR,Tonnes,NR,Bhindi,1700,2000,1900,Rs/Quintal
Doddaballa Pur,NR,Tonnes,NR,Bhindi,1800,2200,2000,Rs/Quintal
Honnali,1,Tonnes,NR,Bhindi,1000,1400,1250,Rs/Quintal
